,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,"XXXTENTACION Presents: Members Only, Vol. 4",1,3DDQ2ZMvBy3QlO0mS4xwp6,Corey's Intro,spotify:track:3DDQ2ZMvBy3QlO0mS4xwp6,0.762,0.445,0.442,0.00802,0.369,-21.102,0.795,82.729,0.254,53
1,"XXXTENTACION Presents: Members Only, Vol. 4",2,6tFWMs2FJMi4loy4XlR8bz,Nothing,spotify:track:6tFWMs2FJMi4loy4XlR8bz,0.65,0.722,0.654,0.00213,0.137,-7.115,0.0279,119.93,0.55,61
2,"XXXTENTACION Presents: Members Only, Vol. 4",3,3jq1RpStaB1YGyN3rRZGca,Sauce!,spotify:track:3jq1RpStaB1YGyN3rRZGca,0.582,0.68,0.313,0.0,0.19,-13.672,0.0347,135.034,0.405,71
3,"XXXTENTACION Presents: Members Only, Vol. 4",4,15Y949TGjUppdT78h0S49P,Gassed Up!,spotify:track:15Y949TGjUppdT78h0S49P,0.293,0.843,0.56,6.72e-06,0.0984,-6.122,0.284,130.032,0.477,60
4,"XXXTENTACION Presents: Members Only, Vol. 4",5,106VtwWCZbr6LyBiPT4Qmn,Plottin,spotify:track:106VtwWCZbr6LyBiPT4Qmn,0.0304,0.856,0.393,0.0,0.0959,-7.348,0.457,161.984,0.119,55
5,"XXXTENTACION Presents: Members Only, Vol. 4",6,4D3v2iwl2YlW4Y0jTHFL2F,Pick Your Poison,spotify:track:4D3v2iwl2YlW4Y0jTHFL2F,0.0515,0.772,0.638,0.0,0.392,-5.122,0.347,145.023,0.47,52
6,"XXXTENTACION Presents: Members Only, Vol. 4",7,2OX6QC9PUddyKBOfKrh2sB,Fall in Love with Death,spotify:track:2OX6QC9PUddyKBOfKrh2sB,0.185,0.823,0.429,0.000231,0.108,-7.759,0.185,144.966,0.396,55
7,"XXXTENTACION Presents: Members Only, Vol. 4",8,0OZkPCEWmObzT2TdErznLD,"Love Hard, Fall Fast",spotify:track:0OZkPCEWmObzT2TdErznLD,0.425,0.751,0.719,0.0,0.0721,-4.78,0.0433,142.153,0.859,57
8,"XXXTENTACION Presents: Members Only, Vol. 4",9,4RwkD60oxDXokzAluwPc8B,Now or Never,spotify:track:4RwkD60oxDXokzAluwPc8B,0.878,0.64,0.134,0.0,0.131,-16.061,0.0621,75.938,0.387,57
9,"XXXTENTACION Presents: Members Only, Vol. 4",10,0p1rtgkOhdwVRE31PqLw7h,Cold Weather,spotify:track:0p1rtgkOhdwVRE31PqLw7h,0.736,0.418,0.484,1.35e-06,0.243,-9.126,0.0294,109.723,0.0562,52
10,"XXXTENTACION Presents: Members Only, Vol. 4",11,2WOxBv9WElDqB0opEAbCC4,Touch Eem Body,spotify:track:2WOxBv9WElDqB0opEAbCC4,0.574,0.726,0.419,0.0,0.381,-11.895,0.25,129.786,0.0644,59
11,"XXXTENTACION Presents: Members Only, Vol. 4",12,0KAeZmwp47R8KZt5zmIqvu,Jahseh on my Wrist,spotify:track:0KAeZmwp47R8KZt5zmIqvu,0.13,0.826,0.732,0.0,0.183,-7.176,0.341,144.032,0.648,52
12,"XXXTENTACION Presents: Members Only, Vol. 4",13,1DyErR1XiKOI0K9VYHGekf,He Diddy!,spotify:track:1DyErR1XiKOI0K9VYHGekf,0.581,0.885,0.408,1.23e-05,0.117,-12.923,0.116,129.894,0.263,60
13,"XXXTENTACION Presents: Members Only, Vol. 4",14,6h9No609BQsRlwVxSkHycT,You Are Not M.O.,spotify:track:6h9No609BQsRlwVxSkHycT,0.285,0.821,0.624,0.0,0.355,-9.494,0.532,163.919,0.771,51
14,"XXXTENTACION Presents: Members Only, Vol. 4",15,44nlOJLjLqwNgYcT277V25,Make Eem Run!,spotify:track:44nlOJLjLqwNgYcT277V25,0.747,0.936,0.514,0.0,0.11,-8.908,0.271,129.997,0.812,64
15,"XXXTENTACION Presents: Members Only, Vol. 4",16,3a5Jt4Be7cM8zWUxPYmLNj,PROUD PUPPY LOVER!,spotify:track:3a5Jt4Be7cM8zWUxPYmLNj,0.164,0.733,0.754,0.0,0.139,-5.805,0.275,159.947,0.719,54
16,"XXXTENTACION Presents: Members Only, Vol. 4",17,1EHPKAJxvw69MR2i2gUT3L,Woah (Freestyle),spotify:track:1EHPKAJxvw69MR2i2gUT3L,0.00809,0.748,0.372,0.0,0.138,-6.677,0.0417,130.052,0.0769,51
17,"XXXTENTACION Presents: Members Only, Vol. 4",18,1dwEMvnyThZ3exkZXL6nW1,MEMBERS ONLY!,spotify:track:1dwEMvnyThZ3exkZXL6nW1,0.139,0.863,0.575,0.0,0.112,-8.033,0.433,159.049,0.483,51
18,"XXXTENTACION Presents: Members Only, Vol. 4",19,79ty42V6NbEAQdEvVWa1IL,Radar,spotify:track:79ty42V6NbEAQdEvVWa1IL,0.0426,0.819,0.657,0.0,0.125,-4.666,0.035,130.913,0.208,47
19,"XXXTENTACION Presents: Members Only, Vol. 4",20,7l0ZtXbl2aTvpHuynmiurl,Hi Wendy!,spotify:track:7l0ZtXbl2aTvpHuynmiurl,0.453,0.864,0.421,0.0,0.108,-11.233,0.274,129.785,0.57,55
20,"XXXTENTACION Presents: Members Only, Vol. 4",21,5ocuRCDSWiUMZcWI4Utd9g,Over the Rainbow,spotify:track:5ocuRCDSWiUMZcWI4Utd9g,0.0114,0.709,0.702,0.000323,0.387,-7.49,0.0714,123.622,0.613,58
21,"XXXTENTACION Presents: Members Only, Vol. 4",22,2vE25qwuW7TFg1xiILHfPi,Red Pills (Love in the Matrix),spotify:track:2vE25qwuW7TFg1xiILHfPi,0.384,0.522,0.553,0.0113,0.13,-8.088,0.043,125.356,0.084,55
22,"XXXTENTACION Presents: Members Only, Vol. 4",23,6juVyvtP06MBOCG7XdidsM,Empty,spotify:track:6juVyvtP06MBOCG7XdidsM,0.291,0.707,0.488,0.000298,0.126,-7.71,0.293,139.89,0.43,57
23,"XXXTENTACION Presents: Members Only, Vol. 4",24,30cbWWggQqnXRuZ0Xra5iN,Rebirth (2016),spotify:track:30cbWWggQqnXRuZ0Xra5iN,0.983,0.55,0.0389,0.00491,0.111,-19.353,0.0738,66.82,0.0404,55
24,SKINS,1,0QSt5KmJzRqU1gFJJfQJ0Q,Introduction,spotify:track:0QSt5KmJzRqU1gFJJfQJ0Q,0.841,0.475,0.00543,9.63e-05,0.113,-20.584,0.0996,135.578,0.568,53
25,SKINS,2,7uqcLJFlSYjVPLUz1vPxkY,Guardian angel,spotify:track:7uqcLJFlSYjVPLUz1vPxkY,0.795,0.712,0.374,0.0,0.187,-10.215,0.511,133.952,0.779,68
26,SKINS,3,5lar0mCUejpILVkAz50s2J,Train food,spotify:track:5lar0mCUejpILVkAz50s2J,0.564,0.492,0.712,9.1e-05,0.357,-7.278,0.691,137.453,0.23,63
27,SKINS,4,7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),spotify:track:7pdF27mSDuPWhppnHAmWHa,0.653,0.735,0.525,0.918,0.101,-2.939,0.0441,160.147,0.369,75
